project,bugId,repairActions,repairPatterns,repairTools,files,methods,classes,linesAdd,linesRem,linesMod,sizeInLines,chunks,spreadAllLines,spreadCodeOnly,mdAdd,mdRem,mdRen,mdParAdd,mdParRem,mdRetTyChange,mdParTyChange,mdModChange,mdOverride,mcAdd,mcRem,mcRepl,mcParSwap,mcParAdd,mcParRem,mcParValChange,mcMove,objInstAdd,objInstRem,objInstMod,varAdd,varRem,varRepl,exTryCatchAdd,exTryCatchRem,exThrowsAdd,exThrowsRem,condExpRed,condExpExpand,condExpMod,condBranIfAdd,condBranIfElseAdd,condBranElseAdd,condBranCaseAdd,condBranRem,assignAdd,assignRem,assignExpChange,loopAdd,loopRem,loopCondChange,loopInitVector,loopInitChange,tyChange,tyModChange,tyObj2Met,tyAdd,typImpInterf,retExpChange,retBranchAdd,retRem,wrapsIf,wrapsIfElse,wrapsElse,wrapsTryCatch,wrapsMethod,wrapsLoop,unwrapIfElse,unwrapMethod,unwrapTryCatch,condBlockExcAdd,condBlockRetAdd,condBlockOthersAdd,condBlockRem,copyPaste,missNullCheckP,missNullCheckN,expLogicExpand,expLogicReduce,expLogicMod,expArithMod,initFix,codeMove,wrongVarRef,wrongMethodRef,singleLine,constChange,notClassified,blockRemove,fixAPI,wrongComp,missComp,others,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size10+,Observations,rtAcs,rtKali,rtDynaMoth,rtGenProg,rtDeepRepair,rtCardumen,rtssFix,rtHDRepair,rtElixir,rtJAID,rtGPFL,rtNopol
Chart,15,1,4,6,1,2,1,5,0,0,5,3,675,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,X,X,X,X,X,,,,,X,
Chart,16,4,3,0,1,2,1,0,0,3,3,2,129,59,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,x,,,,,,,,,Variable initialization in constructor + conditional expression change.,,,,,,,,,,,,
Chart,17,4,0,4,1,1,1,1,0,1,2,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,x,,,,,,,,,,Type change + computing change.,,,X,,,X,,,X,,,X
Chart,18,5,4,2,2,3,2,10,2,1,13,6,19,9,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Replaces return point by throw exception.,,,,,X,,,,,,X,
Chart,19,3,3,1,1,2,1,6,0,0,6,2,275,117,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,X,,,,,,,,,,,
Chart,20,1,3,1,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,x,,,,,,,,,,,Replaces params value passed to constructor.,,,,,,,X,,,,,
Chart,21,6,2,1,1,2,1,39,0,0,39,4,585,239,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,x,,,x,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,It seems that the functionality wasn't implemented before.,,,,,,,,,,,,X
Chart,22,10,3,0,1,3,1,30,1,2,33,7,145,72,,,,,,,,,,x,,,,,,x,,x,,,x,,,,,x,,,,,x,,,,,x,,,x,,,,,,,,,,x,x,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,Implicit null check after loop throught a vector and using a flag variable.,,,,,,,,,,,,
Chart,23,6,1,0,1,1,1,19,0,0,19,1,0,0,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,"I don't know if it makes sense to describe everything made in a method definition... specially in cases like that, where many lines of code with specific logic are commited.",,,,,,,,,,,,
Chart,24,2,3,3,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,x,,,,,x,,,x,,,,,,,,,,,Replaces variable in an assignment expression.,,,,,,X,X,,,X,,
Chart,25,6,5,7,1,2,1,12,0,2,14,6,226,185,,,,,,,,,,x,x,,,,,,,,,,x,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,x,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,X,X
Chart,26,1,2,6,1,1,1,2,0,0,2,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,X,X,,X,X,,,,X,,X
Closure,1,2,1,2,1,1,1,3,0,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,X,,,,,,,,,X
Closure,2,3,2,1,1,1,1,4,0,0,4,3,3,1,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,X
Closure,3,9,2,2,1,2,2,6,0,2,8,3,218,119,,,,x,,,,,,x,,,,x,,,,,,,x,,,,,,,,,x,x,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,X,,,,,,,,,X
Closure,4,2,3,0,1,1,1,0,0,2,2,2,11,9,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Closure,5,3,1,3,1,1,1,3,0,0,3,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,X,,,,,,,X,,X
Closure,6,2,2,0,1,2,1,0,8,0,8,4,36,20,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,
Closure,7,4,2,2,1,1,1,4,0,1,5,3,2,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,X,,,,,,X
Closure,8,3,2,2,1,2,1,4,0,0,4,2,4,3,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,Adds a new condition in expression and a new method invocated by this condition.,,,X,,,,,,,,,X
Closure,9,3,1,0,1,2,2,1,0,1,2,2,64,43,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,
Closure,10,1,2,4,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,x,,,,,,,,,,x,,,,X,,,X,,X,,,,X
Closure,11,3,1,0,1,1,1,0,2,0,2,1,0,0,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Closure,12,5,1,3,1,1,1,6,0,0,6,1,0,0,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,X,,,X,,,,,,X
Closure,13,1,2,2,1,1,1,1,1,0,2,2,1,1,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,Only one line of code was moved.,,,X,,,X,,,,,,
Closure,14,1,3,3,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,x,,,,,,,,,,,Parameter value change.,,,,,,,X,X,,,,X
Closure,15,3,1,1,1,1,1,3,0,0,3,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,X
Closure,16,7,2,2,1,3,2,6,0,3,9,5,296,217,,,,x,,,,,,x,x,,,x,,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,X,,,,,,,,,X
Closure,17,4,2,2,1,1,1,4,0,1,5,2,1,0,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,Transform If structure in Wrap-with IfElse.,,,X,,,,,,,,,X
Closure,18,1,2,3,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x,,,,,,,,,,x,,,,X,,,,,,,X,,X
Closure,19,1,1,1,1,1,1,2,0,0,2,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,X,,,,,,,,,
Closure,20,2,3,2,1,1,1,1,0,1,2,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,X,,,,,,,,,X
Closure,21,7,3,3,1,1,1,0,17,2,19,2,11,7,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,,x,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,X,,,X,,,,,,X
Closure,22,7,4,3,1,1,1,0,24,2,26,5,12,8,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,x,,,,x,,x,,,x,,,,,,,,,,,x,,,,,,,x,,,,,,x,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,"It seems that the old conditions were wrong, so a replacement was made. It simplifies too the implementation. It is similar to a Wrap-with-If operation plus a move of some conditionals.",,,X,,,X,,,,,,X
Closure,23,5,2,0,1,1,1,6,0,1,7,2,1,1,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Closure,24,5,3,0,1,1,1,2,1,2,5,4,15,9,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,x,,,,,,,,,,,,x,,,,,,x,,,,,,,"Again, a kind of Wrap-with-IfElse where some conditionals were missing.",,,,,,,,,,,,
Closure,25,6,0,0,1,1,1,2,4,0,6,4,22,18,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,
Closure,26,5,1,2,1,1,1,5,0,0,5,3,100,71,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,X,,,,,,,,,X
Closure,27,6,2,0,1,3,1,3,0,3,6,3,120,99,x,,,,,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,A Node object is instantiated in the call. Adds new method and replace calls.,,,,,,,,,,,,
Closure,28,3,0,2,1,1,1,4,0,0,4,1,0,0,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,x,,,,,,,x,Overrides the addConstant method. Replaces method calls.,,,X,,,,,,,,,X
Closure,29,4,2,2,1,1,1,10,0,0,10,3,59,28,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,X,,,,,,,,,X
Closure,30,8,6,2,2,3,3,8,0,2,10,6,358,237,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x,,,x,x,,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,x,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,x,x,Adds a new class attribute with its initialization.,,,X,,,,,,,,,X
Closure,31,1,2,4,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,X,,,,X,,,X,,X
Closure,32,7,2,0,1,1,1,15,3,0,18,6,56,38,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,x,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Closure,33,3,1,4,1,1,1,3,0,0,3,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,X,,,X,,,,X,,X
Closure,34,4,2,0,2,3,2,0,2,3,5,3,629,505,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,
Closure,35,7,2,1,1,1,1,0,13,2,15,1,0,0,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,x,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,x,Simplifies an existent null check. It's a kind of conditional block replacement.,,,,,,,,,,,,X
Closure,36,3,2,2,1,1,1,3,0,0,3,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,X,,,,,,,,,X
Closure,37,5,2,0,2,2,2,4,0,1,5,3,3,0,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,Replaces method call by overloaded method with extra parameters.,,,,,,,,,,,,
Closure,38,1,2,1,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,"Parentesis added has no effect on expression evaluation, so a conditional expression expansion was considered only.",,,,,,,,,,,,X
Closure,39,6,3,0,1,1,1,0,0,3,3,3,12,9,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,x,,,,,,,,,"If-else implicit in ""exp?a:b"" construct",,,,,,,,,,,,
Closure,40,2,2,5,1,1,1,0,2,1,3,2,2,2,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,"Removed a null check, maintaining the branch code.",,,X,,,X,X,,,X,,X
Closure,41,5,2,0,1,2,1,9,0,0,9,2,191,138,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,
Closure,42,3,1,0,1,1,1,7,0,0,7,2,2,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,
Closure,43,6,4,0,1,2,1,17,0,0,17,4,161,108,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,x,,,,x,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Closure,44,2,1,0,1,1,1,2,0,0,2,2,5,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Closure,45,8,3,3,1,2,2,4,0,2,6,4,171,107,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,x,x,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,X,,,X,,,,,,X
Closure,46,9,1,2,1,1,1,0,16,0,16,1,0,0,,x,,,,,,,x,,x,,,,,,,,x,,,x,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,x,Removes Overriding method. Adds and initializes local variable.,,,X,,,X,,,,,,
Closure,47,5,2,0,2,2,2,5,0,3,8,3,3,2,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Closure,48,6,2,1,1,1,1,3,0,4,7,2,1,0,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,X,,,,,,,,,
Closure,49,9,2,2,1,3,1,14,8,0,22,8,81,53,,,,,,,,,,x,x,,,,,,,,,,x,x,,,,,,,,,,,,x,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,X,,,,,,,,,X
Closure,50,3,3,2,1,1,1,5,0,1,6,3,13,9,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,X,,,,,,,,,X
Closure,51,2,2,1,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,X,,,,
Closure,52,2,2,0,1,1,1,0,0,1,1,1,0,0,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Closure,53,4,1,0,1,1,1,4,0,0,4,2,19,13,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
